Date,Day of the Week,Amount,Description,Category ,Method of Payment
1/20/23,Friday,12.05,Chicken & Waffles,Food,Debit
1/20/23,Friday,1.99,icloud storage,Bills,Debit
1/20/23,Friday,40,Investment,Financial goals and Savings,Debit
1/21/23,Saturday,24.32,Boba,Food,Debit
1/21/23,Saturday,11.49,Mcdonalds,Food,Debit
1/22/23,Sunday,20.25,Gas,Bills,Debit
1/22/23,Sunday,40,Investment,Financial goals and Savings,Debit
1/23/23,Monday,26.21,Taco Bell,Food,Debit
1/23/23,Monday,5.35,Coffee,Food,Debit
1/23/23,Monday,15.49,Netflix,Bills,Debit
1/23/23,Monday,2,Coffee,Food,Debit
1/24/23,Tuesday,30,Loan,Bills,Debit
1/24/23,Tuesday,34.53,Gas,Bills,Debit
1/24/23,Tuesday,7.67,Chicken bake and coffee,Food,Debit
1/24/23,Tuesday,8.65,Chicken tenders,Food,Debit
1/25/23,Wednesday,27.47,Figure,Entertainment and Recreation,Debit
1/25/23,Wednesday,7.02,Cinnabon,Food,Debit
1/25/23,Wednesday,2.25,Coffee,Food,Debit
1/27/23,Friday,7.99,V-bucks,Entertainment and Recreation,Debit
1/28/23,Saturday,49.56,Car parts,Bills,Debit
1/30/23,Monday,5.81,Milkshake,Food,Debit
1/30/23,Monday,11.36,Skin care,Entertainment and Recreation,Debit
1/30/23,Monday,5.35,Coffee,Food,Debit
1/30/23,Monday,2.99,Icloud storage,Bills,Debit
1/30/23,Monday,2.69,Gatorade,Food,Debit
1/31/23,Tuesday,7.78,Boba,Food,Debit
2/1/23,Wednesday,19.99,Overwatch skin,Entertainment and Recreation,Debit
2/1/23,Wednesday,14.82,Jollibee,Food,Debit
2/2/23,Thursday,1.99,icloud storage,Bills,Debit
2/2/23,Thursday,102.46,Iphone accessories,Entertainment and Recreation,Debit
2/3/23,Friday,20.25,boba,Food,Debit
2/4/23,Saturday,25.23,Iphone accessories,Entertainment and Recreation,Debit
2/4/23,Saturday,20,Racing Simulator,Entertainment and Recreation,Debit